type,indicator,classification,notes
domain,secur-carte.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflix-renouveler.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,login-client-netflix.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,compte-info-aide.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,carte-vitale-ameli-net.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assurance-maladie-amelie.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assistance-connexion.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-securite-social.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-info-secure.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,xn--amelisant-j4a.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-renouvellement-impot-etats.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,servicepublicgouv.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,securite-social-ameli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,particulierbnpparibas.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,facturation-sfr.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,carte-vitale-service.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assurrenouv-ameli.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assurance-maladie.online,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,sfr-moncompte-info.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,melirenouvellement.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,login-assurance-maladie-secure.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,info-suivicolis.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,info-redirectionpaypal.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,contacts-ameli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,caisse-epargne-verif.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assurecpam.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assistances-ameli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,amelicartevitaleverif.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-cvitale.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
